2025-12-31 21:58:07.523 [main] INFO  com.tju.elm.order.OrderServiceApplication - The following 1 profile is active: "dev"
2025-12-31 21:58:08.071 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-12-31 21:58:08.072 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-12-31 21:58:08.092 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces.
2025-12-31 21:58:08.475 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8885 (http)
2025-12-31 21:58:08.484 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-31 21:58:08.484 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.41]
2025-12-31 21:58:08.524 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-31 21:58:08.524 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 969 ms
2025-12-31 21:58:09.360 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8885 (http) with context path '/'
2025-12-31 21:58:09.368 [main] INFO  com.tju.elm.order.OrderServiceApplication - Started OrderServiceApplication in 2.229 seconds (process running for 2.615)
2025-12-31 21:58:12.388 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-12-31 21:58:12.481 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2025-12-31 22:30:21.253 [main] INFO  com.tju.elm.point.PointServiceApplication - Starting PointServiceApplication using Java 17.0.12 with PID 14280 (G:\LE\elm-microservices\elm_cloud\point-service\target\classes started by 26302 in G:\LE\elm-microservices\elm_cloud)
2025-12-31 22:30:21.255 [main] INFO  com.tju.elm.point.PointServiceApplication - The following 1 profile is active: "dev"
2025-12-31 22:30:21.852 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-12-31 22:30:21.853 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-12-31 22:30:21.877 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces.
2025-12-31 22:30:22.271 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8887 (http)
2025-12-31 22:30:22.280 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-31 22:30:22.281 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.41]
2025-12-31 22:30:22.318 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-31 22:30:22.318 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1032 ms
2025-12-31 22:30:22.456 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2025-12-31 22:30:22.466 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2025-12-31 22:35:02.220 [main] INFO  com.tju.elm.point.PointServiceApplication - Starting PointServiceApplication using Java 17.0.12 with PID 11952 (G:\LE\elm-microservices\elm_cloud\point-service\target\classes started by 26302 in G:\LE\elm-microservices\elm_cloud)
2025-12-31 22:35:02.222 [main] INFO  com.tju.elm.point.PointServiceApplication - The following 1 profile is active: "dev"
2025-12-31 22:35:02.793 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-12-31 22:35:02.795 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-12-31 22:35:02.817 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
2025-12-31 22:35:03.200 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8887 (http)
2025-12-31 22:35:03.209 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-31 22:35:03.209 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.41]
2025-12-31 22:35:03.248 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-31 22:35:03.248 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 988 ms
2025-12-31 22:35:03.385 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2025-12-31 22:35:03.395 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2025-12-31 22:35:42.142 [main] INFO  com.tju.elm.point.PointServiceApplication - Starting PointServiceApplication using Java 17.0.12 with PID 17892 (G:\LE\elm-microservices\elm_cloud\point-service\target\classes started by 26302 in G:\LE\elm-microservices\elm_cloud)
2025-12-31 22:35:42.143 [main] INFO  com.tju.elm.point.PointServiceApplication - The following 1 profile is active: "dev"
